model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,gpu_memory_utilization,architecture,attention_type,num_hidden_layers,num_kv_heads,head_dimension,kv_dtype_bytes,per_token_kv_bytes,per_token_kv_bytes_per_gpu,pred_weight_memory_gib,pred_activation_memory_gib,pred_non_torch_gib,pred_cuda_graph_gib,pred_total_non_kv_cache_gib,pred_kv_cache_memory_gib,pred_kv_cache_tokens,pred_max_concurrency,pred_total_weight_gib,pred_alloc_kv_total_gib
codellama/CodeLlama-7b-hf,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Multi-head attention,32,32,128,2,524288,524288.0,12.5515,4.8,0.15,0.0,17.5015,58.4985,119804,14.62,12.5515,58.4985
deepseek-ai/DeepSeek-V2-Lite-Chat,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,DeepseekV2ForCausalLM,Multi-head latent attention,27,16,128,2,31104,31104.0,29.2556,8.0,0.15,0.0,37.4056,38.5944,1332317,162.64,29.2556,38.5944
RedHatAI/Llama-3.3-70B-Instruct-fp8-dynamic,H100-80GB,2,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,LlamaForCausalLM,Grouped-query attention,80,8,128,2,327680,163840.0,33.8395,4.8,0.6,0.0,39.2395,39.1605,256642,31.33,67.679,78.321
RedHatAI/Llama-3.3-70B-Instruct-fp8-dynamic,H100-80GB,4,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,LlamaForCausalLM,Grouped-query attention,80,8,128,2,327680,81920.0,16.9198,4.8,0.6,0.0,22.3198,57.2802,750783,91.65,67.679,229.121
RedHatAI/Qwen2.5-7B-Instruct-fp8-dynamic,H100-80GB,1,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,57344.0,8.1106,5.6,0.15,0.0,13.8606,62.1394,1163533,142.03,8.1106,62.1394
ibm-granite/granite-3.1-2b-instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,GraniteForCausalLM,Grouped-query attention,40,8,64,2,81920,81920.0,4.7191,5.5,0.15,0.0,10.3691,65.6309,860237,105.01,4.7191,65.6309
ibm-granite/granite-3.1-8b-instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,GraniteForCausalLM,Grouped-query attention,40,8,128,2,163840,163840.0,15.2194,5.5,0.15,0.0,20.8694,55.1306,361303,44.1,15.2194,55.1306
ibm-granite/granite-3.3-8b-instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,GraniteForCausalLM,Grouped-query attention,40,8,128,2,163840,163840.0,15.2194,5.5,0.15,0.0,20.8694,55.1306,361303,44.1,15.2194,55.1306
ibm-granite/granite-vision-3.3-2b,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,LlavaNextForConditionalGeneration,Grouped-query attention,40,8,64,2,81920,81920.0,5.5421,2.5,0.15,0.0,8.1921,67.8079,888771,108.49,5.5421,67.8079
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,fp8,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,56.09,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,56.09,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,fp8,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,56.09,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.float16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,56.09,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.float32,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,56.09,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,2048,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,224.37,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,4096,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,112.18,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,2,1,8192,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,65536.0,7.4788,4.8,0.15,0.0,12.4288,65.9712,1080872,131.94,14.9575,131.9425
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,4,1,8192,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,32768.0,3.7394,4.8,0.15,0.0,8.6894,70.9106,2323599,283.64,14.9575,283.6425
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,65536.0,7.4788,4.8,0.6,0.0,12.8788,65.5212,1073499,131.04,14.9575,131.0425
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,4,1,1,8192,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,32768.0,3.7394,4.8,0.6,0.0,9.1394,70.4606,2308853,281.84,14.9575,281.8425
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,16384,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,28.05,14.9575,56.0925
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,32768,torch.bfloat16,None,auto,0.95,LlamaForCausalLM,Grouped-query attention,32,8,128,2,131072,131072.0,14.9575,4.8,0.15,0.0,19.9075,56.0925,459509,14.02,14.9575,56.0925
microsoft/phi-2,H100-80GB,1,1,1,2048,torch.float16,None,auto,0.95,PhiForCausalLM,Multi-head attention,32,32,80,2,327680,327680.0,5.1776,5.5,0.15,0.0,10.8276,65.1724,213557,104.28,5.1776,65.1724
microsoft/phi-4,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Phi3ForCausalLM,Grouped-query attention,40,10,128,2,204800,204800.0,27.3055,5.5,0.15,0.0,32.9555,43.0445,225677,27.55,27.3055,43.0445
mistralai/Mistral-Small-3.1-24B-Instruct-2503,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Mistral3ForConditionalGeneration,Grouped-query attention,40,8,128,2,163840,163840.0,44.7246,2.5,0.15,0.0,47.3746,28.6254,187599,22.9,44.7246,28.6254
mistralai/Mixtral-8x7B-Instruct-v0.1,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,MixtralForCausalLM,Grouped-query attention,32,8,128,2,131072,65536.0,43.4954,8.0,0.6,0.0,52.0954,27.9046,457189,55.81,86.9907,55.8093
moonshotai/Kimi-Dev-72B,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,80,8,128,2,327680,163840.0,67.7129,5.6,0.6,0.0,73.9129,4.8871,32027,3.91,135.4259,9.7741
moonshotai/Kimi-Dev-72B,H100-80GB,4,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,80,8,128,2,327680,81920.0,33.8565,5.6,0.6,0.0,40.0565,40.1435,526169,64.23,135.4259,160.5741
moonshotai/Kimi-VL-A3B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,KimiVLForConditionalGeneration,Multi-head attention,27,16,128,2,221184,221184.0,30.5616,8.0,0.15,0.0,38.7116,37.2884,181017,22.1,30.5616,37.2884
moonshotai/Kimi-VL-A3B-Instruct,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,KimiVLForConditionalGeneration,Multi-head attention,27,16,128,2,221184,110592.0,15.2808,8.0,0.6,0.0,23.8808,56.1192,544863,66.51,30.5616,112.2384
