log_file,status,model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,gpu_memory_utilization,init_free_memory_gib,init_total_memory_gib,init_cuda_memory_gib,init_non_torch_memory_gib,requested_memory_gib,weight_memory_gib,weights_memory_gib,activation_memory_gib,non_torch_forward_gib,total_non_kv_cache_gib,cuda_graph_estimated_gib,cuda_graph_actual_gib,kv_cache_memory_gib,kv_cache_tokens,kv_cache_blocks,max_concurrency,summary_free_gib,summary_total_gib,cudagraph_piecewise_count,cudagraph_piecewise_largest,cudagraph_full_count
codellama-codellama-34b---h100-80gb--tp2pp1dp1--8192.FAILED.log,failed,codellama/CodeLlama-34b-hf,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,77.66,79.19,1.53,1.51,75.23,,,,,,,,,,,,,,,,
codellama-codellama-7b-h--h100-80gb--tp1pp1dp1--8192.log,ok,codellama/CodeLlama-7b-hf,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,12.56,12.56,0.77,0.25,13.57,0.84,0.89,61.66,126256,7891,15.41,78.68,79.19,51,512,51
deepseek-ai-deepseek-v2---h100-80gb--tp1pp1dp1--8192.log,ok,deepseek-ai/DeepSeek-V2-Lite-Chat,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,29.43,29.43,1.93,0.26,31.62,1.39,1.57,43.61,1505552,94097,183.78,78.68,79.19,51,512,51
fp8dyn-llama-3-3-70b--h100-80gb--tp2pp1dp1--8192.log,ok,RedHatAI/Llama-3.3-70B-Instruct-fp8-dynamic,H100-80GB,2,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,77.66,79.19,1.53,1.51,75.23,33.88,33.88,1.96,2.1,37.95,1.82,1.79,37.28,244304,15269,29.82,77.66,79.19,51,512,51
fp8dyn-llama-3-3-70b--h100-80gb--tp4pp1dp1--8192.log,ok,RedHatAI/Llama-3.3-70B-Instruct-fp8-dynamic,H100-80GB,4,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,77.64,79.19,1.55,1.53,75.23,16.96,16.96,1.97,2.21,21.14,1.7,1.66,54.09,708992,44312,86.55,77.64,79.19,51,512,51
fp8dyn-redhatai-qwen2-5---h100-80gb--tp1pp1dp1--8192.log,ok,RedHatAI/Qwen2.5-7B-Instruct-fp8-dynamic,H100-80GB,1,1,1,8192,torch.bfloat16,compressed-tensors,auto,0.95,78.68,79.19,0.51,0.51,75.23,8.14,8.14,2.21,0.24,10.59,0.71,0.81,64.64,1210304,75644,147.74,78.68,79.19,51,512,51
google-gemma-2-27b-it--h100-80gb--tp1pp1dp1--8192.FAILED.log,failed,,H100-80GB,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
google-gemma-2-27b-it--h100-80gb--tp1pp1dp1--8192.log,ok,google/gemma-2-27b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,50.72,50.72,3.66,0.26,54.64,1.13,1.23,20.59,58672,7335,7.16,78.68,79.19,51,512,51
google-gemma-2-2b-it--h100-80gb--tp1pp1dp1--8192.FAILED.log,failed,,H100-80GB,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
google-gemma-2-2b-it--h100-80gb--tp1pp1dp1--8192.log,ok,google/gemma-2-2b-it,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,4.9,4.9,3.62,0.24,8.76,0.52,0.71,66.47,670160,83770,81.73,78.68,79.19,51,512,51
